Имя файла;Стоимость решения;Оптимальное значение;Время выполнения;Размер графа;Количество грузовиков
A-n80-k10.vrp;2049.1584999446823;1763;39.18012309074402;80;10
A-n61-k9.vrp;1163.937904510687;1034;34.87123417854309;61;9
A-n63-k9.vrp;1820.2248952599957;1616;53.21035695075989;63;9
A-n55-k9.vrp;1199.1712113792544;1073;40.08160400390625;55;9
A-n33-k5.vrp;739.0443741327332;661;5.7924230098724365;33;5
A-n33-k6.vrp;818.3530934542977;742;6.15814208984375;33;6
A-n37-k5.vrp;785.2748265605078;669;11.466395854949951;37;5
A-n37-k6.vrp;1043.8024162488878;949;10.068395137786865;37;6
A-n46-k7.vrp;1053.9683312731934;914;16.273577213287354;46;7
A-n54-k7.vrp;1331.0521164598213;1167;27.13762927055359;54;7
A-n44-k6.vrp;1024.554874974833;937;20.17327880859375;44;6
A-n39-k6.vrp;914.0361846254834;831;8.377516984939575;39;6
A-n48-k7.vrp;1235.4761046465594;1073;15.154140949249268;48;7
A-n39-k5.vrp;952.4288181007528;822;7.448759078979492;39;5
A-n69-k9.vrp;1352.0404087937775;1159;40.82148194313049;69;9
A-n65-k9.vrp;1373.9770288051932;1174;51.06162214279175;65;9
A-n60-k9.vrp;1544.8585424693422;1354;37.21563506126404;60;9
A-n63-k10.vrp;1472.435955677818;1314;27.19340205192566;63;10
A-n53-k7.vrp;1215.0212190375128;1010;31.78480887413025;53;7
A-n62-k8.vrp;1459.5035102072536;1288;28.901774168014526;62;8
A-n32-k5.vrp;839.4479547093197;784;13.743297100067139;32;5
A-n36-k5.vrp;903.5989571096277;799;7.38602614402771;36;5
A-n64-k9.vrp;1593.3030401869607;1401;26.495214700698853;64;9
A-n38-k5.vrp;812.6775438468915;730;6.361227035522461;38;5
A-n34-k5.vrp;863.4149466632263;778;9.129388093948364;34;5
A-n45-k7.vrp;1321.3667529730287;1146;13.905935049057007;45;7
A-n45-k6.vrp;1063.2372764322888;944;23.086800813674927;45;6
B-n34-k5.vrp;814.8619589781028;788;13.634306907653809;34;5
B-n45-k5.vrp;835.9827107621214;751;12.70615291595459;45;5
B-n64-k9.vrp;977.3675501325213;861;42.194183111190796;64;9
B-n68-k9.vrp;1371.5828163302535;1272;25.40362286567688;68;9
B-n38-k6.vrp;849.352233936371;805;15.565530061721802;38;6
B-n45-k6.vrp;772.5394430780443;678;11.409365892410278;45;6
B-n57-k7.vrp;1227.9108727451207;1153;27.451664924621582;57;7
B-n67-k10.vrp;1152.6504607171387;1032;34.78508496284485;67;10
B-n66-k9.vrp;1449.1172417409741;1316;31.137614011764526;66;9
B-n50-k8.vrp;1398.1264729464895;1312;19.50027298927307;50;8
B-n51-k7.vrp;1111.375369646815;1032;19.25218892097473;51;7
B-n43-k6.vrp;792.1905565633425;742;11.214043855667114;43;6
B-n41-k6.vrp;878.077845882145;829;9.746700048446655;41;6
B-n44-k7.vrp;985.9293158781364;909;18.3414249420166;44;7
B-n56-k7.vrp;822.5252822960568;707;20.895440101623535;56;7
B-n35-k5.vrp;1024.0127209779967;955;10.916798114776611;35;5
B-n78-k10.vrp;1350.412744971628;1221;40.16732692718506;78;10
B-n39-k5.vrp;593.2140262804718;549;7.004117965698242;39;5
B-n50-k7.vrp;812.0046758744165;741;14.406752824783325;50;7
B-n52-k7.vrp;827.2242958515383;747;14.956876039505005;52;7
B-n63-k10.vrp;1666.1598259702419;1496;40.7521858215332;63;10
B-n57-k9.vrp;1708.2554314462498;1598;24.7599139213562;57;9
B-n31-k5.vrp;687.2954420611397;672;5.8363518714904785;31;5
E-n22-k4.vrp;396.8396300743391;375;3.2714128494262695;22;4
E-n51-k5.vrp;659.0522943398695;521;20.543581247329712;51;5
E-n30-k3.vrp;544.2566126696172;534;5.617955923080444;30;3
E-n101-k14.vrp;1343.2346087735716;1071;137.33064603805542;101;14
E-n76-k8.vrp;930.3605863083799;735;51.43699502944946;76;8
E-n76-k7.vrp;889.0011706968628;682;35.127801179885864;76;7
E-n101-k8.vrp;1099.7657920482286;817;68.04335403442383;101;8
E-n23-k3.vrp;592.89919572972;569;3.292372941970825;23;3
E-n33-k4.vrp;905.7972471601023;835;7.672528982162476;33;4
E-n76-k14.vrp;1183.8804766545757;1021;105.37837100028992;76;14
E-n76-k10.vrp;996.5873415345643;830;32.0823860168457;76;10